# 金融领域情感词典
# 格式：每行 "词\t分数"，分数 -1.0 ~ +1.0
# 你可以随时补充：新概念、网络黑话、个股别名等。
# pipeline 在启动时会读取此文件。

# ----- 强正向（+0.4 ~ +0.5）-----
暴涨	0.5
涨停	0.5
封板	0.5
翻倍	0.5
起飞	0.4
大涨	0.4
爆发	0.4
新高	0.4
牛市	0.4
腾飞	0.4

# ----- 中正向（+0.2 ~ +0.3）-----
看多	0.3
看好	0.3
利好	0.3
突破	0.3
拉升	0.3
反弹	0.25
买入	0.25
加仓	0.25
反转	0.2
强势	0.2
上涨	0.2

# ----- 弱正向（+0.1）-----
稳健	0.1
持有	0.1
支撑	0.1
底部	0.1
分红	0.1
低估	0.15

# ----- 强负向（-0.4 ~ -0.5）-----
暴跌	-0.5
跌停	-0.5
崩盘	-0.5
腰斩	-0.5
闪崩	-0.5
爆雷	-0.5
退市	-0.5
新低	-0.4
熊市	-0.4
套牢	-0.4
亏损	-0.4

# ----- 中负向（-0.2 ~ -0.3）-----
看空	-0.3
看跌	-0.3
利空	-0.3
卖出	-0.25
减仓	-0.25
下跌	-0.2
弱势	-0.2
回调	-0.15
调整	-0.1

# ----- 风险与情绪词 -----
风险	-0.15
警惕	-0.2
ST	-0.3
退潮	-0.2
恐慌	-0.4
踩踏	-0.4
割肉	-0.4
韭菜	-0.3
镰刀	-0.3
高位	-0.1
泡沫	-0.3

# === 东财散户黑话扩充 (v3) ===
# 这些词在雪球较少，在东财股吧高频
割韭菜	-0.4
接盘	-0.3
接盘侠	-0.3
吃面	-0.4
站岗	-0.3
被套	-0.3
深套	-0.4
解套	0.2
回本	0.3
肉吃	0.3
赚翻	0.4
庄家	-0.05
主力	0.05
游资	0.10
跟庄	0.10
打压	-0.30
洗盘	-0.10
出货	-0.20
吃货	0.10
进场	0.10
离场	-0.10
追高	-0.20
抄底	0.10
逃顶	-0.10
踏空	-0.20
满仓	0.10
空仓	-0.10
半仓	0.00
跌停板	-0.50
涨停板	0.50
炸板	-0.30
开板	-0.10
一字板	0.40
T型板	-0.10
机构	0.10
机构进场	0.20
散户	-0.05
游资进场	0.20
